County,Geology,Karst_Features_Present,Cave_Size,Cave_Frequency,Cave_Hydrology,Other_Solution_Or_Karst_Features,Comments
Genesee,"Onondaga Limestone, Camillus shale (gypsum)","Sinkholes, solution channels, springs, a few small caves present",Small,"Sinkholes, solution channels, and springs present, caves uncommon quency",Solution channels intermittently wet,The Camillus Shale has a thin bed of gypsum (3 to 5 ft thick) which has been mined north of the Onondaga Escarpment. It has been reported that small solutional conduits drained into these mines and some landsurface subsidence (bulk or sinkhole subsidence features) has also occurred as the mine openings collapse. karst-related features,"One of the largest sinking streams in New York, Oatka Creek, is found there, and has a drainage area of 139 mi. On the east side of the County the Onondaga Limestone and other bedrock units have been displaced to the north by the Clarendon-Linden Fault and there are several karst springs along and near the fault. [Also see Reddy and Kappel (2010) for a study of karst in the Onondaga Limestone in Genesee County.]*"
Greene,"Helderberg and Onondaga Limestones, a few fissure caves in Catskill region in conglomerates","Few sinkholes and solution channels, some caves",Small,Present,Unknown,—,"These limestones are all found in the Hudson Valley fold-thrust belt. The rocks are largely folded and faulted and are compressed in an east-west direction. As a result, many of the limestone caves are generally oriented along the strike of the major faults or down locally, in steeply dipping rock."
Hamilton,"Marble, talus, and fracture caves. Limestone?","Caves, mostly short, in talus, although some may be solutional.",Small,Present,Unknown,—,
Herkimer,"Trenton- Black River Limestone, marble, talus, fracture, and two tufa caves.","Caves, generally small, sinkholes, short solution channels",Small,Present,Unknown,—,"Of interest is the chyle hole. This feature, a large occluded sink that takes a stream, has given its name to similar features in parts of Herkimer, Oneida, and Otsego Counties. Thus, locals often refer to sinks as chyle holes. The Van Hornesville Tufa Caves are one of two known groups of caves formed in calcareous tufa in the State."
Jefferson,"Trenton-Black River Group Limestone, marble, talus fracture caves and two tufa caves.","Caves, solution channels, sinkholes, losing/ gaining streams","Mostly small, a few larger (long) caverns present",Common,Intermittently to nearly always wet,—,"All but a few of these caves are formed in the Ordovician-aged Trenton-Black River Group limestones. The exception is Natural Bridge Caverns formed in pre-Cambrian marbles (often called the Grenville Marble). At 2,000 ft, this is the longest known marble cave in New York."
Kings,No karst,—,—,—,—,—,
Lewis,"Trenton-Black River Group limestone, marble","Solution channels, some caves",Small cases mostly,Present,Unknown,—,"There is one known large cave—Drought Cave (2,000 ft)—close to the Oneida County line just north of Boonville. This low number may be because few people are looking. The Sugar River sinks into the its limestone channel."
Livingston,Onondaga Limestone,"Solution channels, sinkholes, springs, losing/ gaining streams",Unknown,Uncommon,Unknown,A few phantom lakes and ponds occur in the Onondaga Limestone where it crops out near land surface - variable solution channel capacities cause these intermittent water bodies to quickly appear and disappear.,"Karst is found near Caledonia where one of the State’s largest karst springs, Big Spring, is located. It has a low flow of 5 ft3/s. [A railroad tank car derailment in 1970 caused a large amount of TCE to flow into the Onondaga Limestone and flowed eastward, but it was never detected (at any level of concern) in Big Spring which feeds a fish hatchery (U.S. Environmental Protection Agency, 2017).]*"
Madison,Helderberg and Onondaga Limestone,"Solution channels, springs, cascading water in wells, losing/ gaining streams",None known,Uncommon,Unknown,—,"Some caves are reported near Chittenango/Chittenango Falls State Park. [Cascading water in drinking water wells has caused groundwater/ surface water interaction, causing drinking-water well, water-quality issues.]*"
Monroe,"Onondaga Limestone, Camillus shale (gypsum)","Solution channels, sinkholes, springs",None known,Uncommon,Unknown,"Gypsum mines north of the Onondaga Limestone escarpment have caused subsidence issues, such as in Monroe County’s Oatka Creek Park.",
Montgomery,"Dolostone, limestone",Fractured (faulted) rock,Small,Uncommon,Unknown,—,
Nassau,No karst,—,—,—,—,—,
New York,Inwood marble,"Very small caves, unknown karst features present",Small,Uncommon quency,Unknown,The type locality of the Inwood Marble is Inwood Park at the north end of Manhattan Island. There are three small caves here and two in Central Park. karst-related features,
Niagara,Lockport Dolostone,"Some sinkholes, solution channels, and springs known, a few caves",Small,Uncommon,Dry?,"The few karst features that are found in the upper weathered Lockport Dolostone are usually associated with solution channels: some vertical, some flowing along discrete bedding planes in the Lockport Dolostone. The large caves appear to be found near the Lockport Escarpment.","Lockport Dolostone unit has some large caves on either side of the Niagara River gorge and along its escarpment. Lockport Cave may have had as much as 2 mi of passage, but the cave has not been found in recent times. Of the approximately 40 caves, 7 are historically well documented, but have since been destroyed. Five other caves are rumored or lost."
Oneida,Trenton Limestone (north) Helderberg- Onondaga Limestone (south) and tufa,"Sinkholes, solution channels and springs, but few caves",Small,Uncommon,Unknown,"There is a calcareous tufa deposit northwest of Waterville at Forge Hollow that contains one of two known groups of New York caves formed in such material. The Unadilla River rises from a limestone spring. There are reports of caves upstream from Pixley Falls State Park, where the Lansing Kill apparently sinks into a fissure resurging 0.5 mi downstream.",
Onondaga,"Onondaga and Manlius Limestone, Camillus Shale (gypsum)","Few sinkholes, minor caves, fractureopenings, evaporite subsidence",Very small,Uncommon,Unknown,"One small cave under I-81 in south Syracuse documented by New York State Department of Transportation, and several fractureopening caves adjacent to Rock Cut Road quarry escarpment.","See Robertson (1970) for information on caves in Onondaga County. [Subsidence of about 30 ft attributed to gypsum dissolution (Phillips, 1955). City infrastructure study also looked at water main breaks in relation to several anthropogenic factors and gypsum. Engineering studies have documented infrastructure subsidence in the Camillus region of the City.]* French (1860) suggests gypsum caves near Jamesville."
Ontario,Onondaga Limestone,"Few sinkholes, solution channels noted",None known,Uncommon,Unknown,,
Orange,"Marble, Helderberg and Onondaga Limestone",Some solution features may be present,Small,Uncommon,Unknown,,"The best-known caves are probably Dutchess Quarry Caves 1 through 9. These are actually only four small caves, but all have great archeological significance."
Orleans,No karst,—,—,—,—,—,
Oswego,No karst,—,—,—,—,—,
Otsego,"Helderberg and Onondaga Limestone, and facture openings in shale","Sinkholes, solution channels, springs, possible losing/gaining streams",Generally small,Present,Mixed,—,The Helderberg and Onondaga limestones are exposed in irregular bands along the northern edge of the county. There is much karst to be explored and one suspects that the lack of caves is from a lack of looking and nothing more. Summit Lake is fed by some large karst springs to the east which resurge at the base of the Onondaga limestone. Two fracture caves formed in shale near Cooperstown.
Putnam,Marble,Unknown solution features,Very small,Uncommon,Unknown,—,A scattering of marble slivers in the Taconic mélange are found throughout Putnam County though they are more common in the eastern half of the county. None of the 10 or so small caves are notable.
Queens,No karst,— present,—,— quency,—,— karst-related features,
Rensselaer,"Marble, tectonic fracture",Unknown solution features,Very small,Uncommon,Unknown,—,Snow Hole is a small tectonic cave formed in slate and phyllite. It generally contains snow and ice well into summer. Country Club Cave is a gravity-slip block cave formed in shale.
Richmond,No karst,—,—,—,—,—,
Rockland,"Marble, fracture caves",Unknown solution features,Very small,Uncommon,Unknown,—,"Rockland includes some marble outcrops and a few small caves. The bestknown caves in the county, however, are small fissure caves formed in igneous and other metamorphic rocks."
St. Lawrence,"Talus, marble, Potsdam sandstone (fracture) caves","Sinkholes, some solution channels, springs",Small,Common,Unknown,—,"The predominant cave type in the county is talus, with about 70 known solutional caves, and there are fracture caves in the Potsdam Sandstone in the northern part of the county."
Saratoga,"Beekmantown Group Limestone, dolostone","Few sinkholes, some solution features",Very small,Uncommon,Unknown,—,"All known karst lie in the Ordovicianaged limestones that ring the Adirondacks. There is karst in Saratoga Springs and stories about caves in Congress Park and under the new Skidmore Campus. Two new cave discoveries have come to light between Saratoga and Glens Falls, and others west of Saratoga."
Schenectady,"Dolostone, limestone",Fractured (faulted) rock,Small,Uncommon,Unknown,—,
Schoharie,Helderberg and Onondaga Limestone,"Many sinkholes, solution channels, springs, caves and caverns, losing/gaining streams",Many lengths,Extensive,Mixed,—,"There are three major cave areas in the county: the Cobleskill Plateau, Terrace Mountain, and Barton Hill. The Cobleskill Plateau is bounded on the south by the Cobleskill Creek, on the east by the Schoharie Creek, on the north by the Helderberg escarpment, and on the west by the younger Devonian formations, most notably the Esopus Shale. There is a fourth area that will likely yield large caves in the future, but now has only a few small caves. The area is bounded on the north and west by Kings Creek, on the south by the Fox Creek, and on the east by the Albany County line. In the northwest corner of the county are sinkholes thousands of feet across that have yet to be checked out."
Schuyler,No karst,—,—,—,—,—,
Seneca,No karst,—,—,—,—,—,
Steuben,No karst,—,—,—,—,—,
Suffolk,No karst,—,—,—,—,—,
Sullivan,Limestone,Unknown solution features,One long cave,Uncommon,Unknown,—,"Limestone is found only along the southeast edge of Sullivan County. In that relatively small, steeply dipping exposure there is one large cave: Surprise or Mystery Cave with 9,975 ft of passage."
Tioga,No karst,—,—,—,—,—,
Tompkins,Tully Limestone/ Moscow shale,Solution channels at base of Tully Limestone present,Small,Uncommon quency,Seasonally wet,— karst-related features,"The Tully Limestone crops out north of Ithaca. The caves, which are generally joint-controlled, are formed at the contact between the Tully limestone and the underlying Moscow shale with the majority of the passage in the shale. [Likely other Tully/Moscow caves are present where this contact is exposed along the edges of the Finger Lakes.]*"
Ulster,"Helderberg and Onondaga Limestone, talus, fracture caves",Unknown solution features,Mostly small,Present,Seasonally wet,—,"The Helderberg and Onondaga limestones crop out as bands that run south to Kingston and then southwest until they leave the county near Ellenville. In the area from Saugerties through Kingston and down beyond Hurley, the beds are highly folded and faulted. To the southwest the severe deformation ceases, but the beds are still steeply dip to the northwest. The talus and fissure caves are formed in the Shawangunk Grit."
Warren,"Marble, talus",Unknown solution features,Small,Present,Unknown,—,"Warren County’s caves are half solutional and half talus. As with the counties east of the Hudson, Warren County has isolated lenses of marble in which caves have formed. In the southeast corner of the county there is limestone, but no caves are reported."
Washington,"Marble, talus, limestone(?)",Unknown solution features,Small,Uncommon,Unknown,—,
Wayne,No karst,—,—,—,—,—,
Westchester,"Marble, talus",Unknown solution features,Small,Uncommon,Unknown,—,A scattering of marble slivers in the Taconic mélange are found throughout Westchester County though they are more common in the eastern half of the county.
Wyoming,No karst,—,—,—,—,—,
Yates,No karst,—,—,—,—,—,
